station_key,MLocID,StationDes,Lat_DD,Long_DD,Datum,CollMethod,MapScale,AU_ID,MonLocType,Comments,STATE,COUNTY,T_R_S,EcoRegion3,EcoRegion4,HUC4_Name,HUC6_Name,HUC8_Name,HUC10_Name,HUC12_Name,HUC8,HUC10,HUC12,ELEV_Ft,GNIS_Name,Reachcode,Measure,LLID,RiverMile,SnapDate,ReachRes,SnapDist_ft,Conf_Score,QC_Comm,UseNHD_LL,FishCode,SpawnCode,WaterTypeCode,WaterBodyCode,BacteriaCode,DO_code,ben_use_code,pH_code,DO_SpawnCode,OWRD_Basin,TimeZone,EcoRegion2,UserName,Created_Date
10523,10523-ORDEQ,Nestucca R at Cloverdale,45.20700786,-123.8898902,NAD83,Interpolation-Digital Map Source,24000,OR_EB_1710020302_01_100295,Estuary,/TYPA/AMBNT/STREAM/NET/BACK  Previous Name:Nestucca River at Cloverdale,OR,TILLAMOOK,4.00S10.00W22,1,1a,Oregon-Washington Coastal,Northern Oregon Coastal,Wilson-Trusk-Nestuccu,Nestucca River-Frontal Pacific Ocean,Nestucca Bay-Frontal Pacific Ocean,17100203,1710020302,1.71002E+11,17,Nestucca River,1.71002E+13,91.97813,1.23956E+12,7.52345907,24:33.0,2,86.62439837,3,"Confirmed with Flowline, topo and roads",YES,16,15,1,1,2,1,1,6,11,North Coast,PST,MARINE WEST COAST FOREST,NULL,NULL
11856,11856-ORDEQ,Nehalem River at Foley Road (Roy Creek Campground),45.69975923,-123.8441202,NAD83,Interpolation-Digital Map Source,24000,OR_EB_1710020206_01_100299,Estuary,/TYPA/AMBNT/STREAM/NET/BACK,OR,TILLAMOOK,3.00N10.00W36,1,1d,Oregon-Washington Coastal,Northern Oregon Coastal,Nehalem,Lower Nehalem River,Anderson Creek-Nehalem River,17100202,1710020206,1.71002E+11,13,Nehalem River,1.71002E+13,28.9153,1.23895E+12,9.19517939,24:33.0,2,481.2680223,3,"Confirmed with Flowline, topo and roads",YES,18,19,1,1,2,1,1,6,11,North Coast,PST,MARINE WEST COAST FOREST,NULL,NULL
13368,13368-ORDEQ,Nehalem River at River Mile 15.0,45.7232162,-123.7714392,NAD83,Interpolation-Digital Map Source,24000,OR_SR_1710020206_05_105864,River/Stream,/TYPA/AMBNT/STREAM/NET/BACK,OR,TILLAMOOK,3.00N 9.00W27,1,1d,Oregon-Washington Coastal,Northern Oregon Coastal,Nehalem,Lower Nehalem River,Lost Creek-Nehalem River,17100202,1710020206,1.71002E+11,56,Nehalem River,1.71002E+13,62.92419,1.23895E+12,16.6219768,01:23.0,2,322.1388131,2,"Confitmed via flowline, old point, RM 16.7",Yes,18,19,2,2,2,2,5,6,20,North Coast,PST,MARINE WEST COAST FOREST,NULL,NULL
13421,13421-ORDEQ,Wilson River at Hwy 101,45.4782454,-123.8443842,NAD83,Interpolation-Digital Map Source,24000,OR_EB_1710020308_01_100298,Estuary,/TYPA/AMBNT/STREAM/NET/BACK,OR,TILLAMOOK,1.00S10.00W13,1,1a,Oregon-Washington Coastal,Northern Oregon Coastal,Wilson-Trusk-Nestuccu,Wilson River,Lower Wilson River,17100203,1710020305,1.71002E+11,5,Wilson River,1.71002E+13,13.10527,1.23897E+12,3.4389509,24:33.0,2,336.0876832,3,"Confirmed with Flowline, topo and roads",YES,18,19,1,1,2,1,1,6,11,North Coast,PST,MARINE WEST COAST FOREST,NULL,NULL
13428,13428-ORDEQ,Dougherty Slough at Hwy 101,45.4652311,-123.8439106,NAD83,Interpolation-Digital Map Source,24000,OR_SR_1710020304_05_105897,Estuary,/TYPA/AMBNT/STREAM,OR,TILLAMOOK,1.00S 9.00W19,1,1a,Oregon-Washington Coastal,Northern Oregon Coastal,Wilson-Trusk-Nestuccu,Trask River,Lower Trask River,17100203,1710020304,1.71002E+11,15,Dougherty Slough,1.71002E+13,16.06647,1.23858E+12,1.06910965,01:27.0,2,17.97414065,3,"Confitmed via flowline, Hwy 101",Yes,18,11,2,2,2,2,5,6,25,North Coast,PST,MARINE WEST COAST FOREST,NULL,NULL
13429,13429-ORDEQ,Dougherty Slough at Wilson River Loop Road (Tillamook),45.4704774,-123.8098075,NAD83,Interpolation-Digital Map Source,24000,OR_SR_1710020304_05_105897,Estuary,/TYPA/AMBNT/STREAM,OR,TILLAMOOK,1.00S 9.00W20,1,1a,Oregon-Washington Coastal,Northern Oregon Coastal,Wilson-Trusk-Nestuccu,Trask River,Lower Trask River,17100203,1710020304,1.71002E+11,20,Dougherty Slough,1.71002E+13,77.33621,1.23858E+12,3.49476397,01:27.0,2,209.3143678,3,Moved to the Road,Yes,18,11,2,2,2,2,5,6,25,North Coast,PST,MARINE WEST COAST FOREST,NULL,NULL
13430,13430-ORDEQ,Hoquarten Slough at Hwy 101 (Tillamook),45.45912869,-123.8444452,NAD83,Interpolation-Digital Map Source,24000,OR_WS_171002030406_05_106217,Estuary,/TYPA/AMBNT/ESTURY,OR,TILLAMOOK,1.00S10.00W25,1,1a,Oregon-Washington Coastal,Northern Oregon Coastal,Wilson-Trusk-Nestuccu,Trask River,Lower Trask River,17100203,1710020304,1.71002E+11,17,Hoquarten Slough,1.71002E+13,37.25698,1.23867E+12,2.00919637,01:28.0,2,13.97059306,3,"Confitmed via flowline, Hwy 101",Yes,18,11,2,2,2,2,5,6,25,North Coast,PST,MARINE WEST COAST FOREST,NULL,NULL
13431,13431-ORDEQ,Trask River at Netarts Road (Hwy. 6),45.45620156,-123.859714,NAD83,Interpolation-Digital Map Source,24000,OR_EB_1710020308_01_100298,Estuary,/TYPA/AMBNT/STREAM,OR,TILLAMOOK,1.00S10.00W25,1,1a,Oregon-Washington Coastal,Northern Oregon Coastal,Wilson-Trusk-Nestuccu,Trask River,Lower Trask River,17100203,1710020304,1.71002E+11,2,Trask River,1.71002E+13,67.23905,1.23881E+12,1.56971444,01:28.0,2,311.4217164,2,Moved to Trask Creek. It's on 3rd St (the extent part of Hwy 6),Yes,18,11,1,1,2,1,1,6,11,North Coast,PST,MARINE WEST COAST FOREST,NULL,NULL
21800,21800-ORDEQ,Nestucca River at River Mile 38.57,45.27839112,-123.5513571,NAD83,Interpolation-Digital Map Source,24000,OR_SR_1710020302_05_105874,River/Stream,STREAM/AMBNT/BIO/SALMONPLAN,OR,TILLAMOOK,3.00S 7.00W28,1,1d,Oregon-Washington Coastal,Northern Oregon Coastal,Wilson-Trusk-Nestuccu,Nestucca River-Frontal Pacific Ocean,Testament Creek-Nestucca River,17100203,1710020302,1.71002E+11,842,Nestucca River,1.71002E+13,71.67391,1.2355E+12,39.41064106,02:46.0,2,285.1809172,2,"Station moved Northwest to correct flowline, closer to rivermile 39.5",Yes,16,15,2,2,2,2,5,6,15,North Coast,PST,MARINE WEST COAST FOREST,NULL,NULL
22394,22394-ORDEQ,Nestucca River at first bridge ramp (upstream of Beaver),45.27682086,-123.8182912,NAD83,Interpolation-Digital Map Source,24000,OR_SR_1710020302_05_105874,River/Stream,STREAM/AMBNT,OR,TILLAMOOK,3.00S 9.00W29,1,1d,Oregon-Washington Coastal,Northern Oregon Coastal,Wilson-Trusk-Nestuccu,Nestucca River-Frontal Pacific Ocean,Farmer Creek-Nestucca River,17100203,1710020302,1.71002E+11,74,Nestucca River,1.71002E+13,5.43056,1.23956E+12,16.79522939,07:32.0,2,121.2762017,3,"Station confirmed on Nestucca flowline at Blaine Rd. Bridge, upstream of Beaver ",Yes,16,15,2,2,2,2,5,6,15,North Coast,PST,MARINE WEST COAST FOREST,NULL,NULL
23509,23509-ORDEQ,Nehalem River downstream of Humbug Creek at Lower Nehalem Road,45.84355649,-123.5911121,NAD83,Interpolation-Digital Map Source,24000,OR_SR_1710020203_05_105834,River/Stream,NULL,OR,CLATSOP,4.00N 7.00W 7,1,1d,Oregon-Washington Coastal,Northern Oregon Coastal,Nehalem,Middle Nehalem River,Cronin Creek-Nehalem River,17100202,1710020203,1.71002E+11,353,Nehalem River,1.71002E+13,84.06984,1.23895E+12,35.99797145,19:55.0,2,306.7823828,2,Station moved southwest on Nehalem flowline to Lower Nehalem Rd,yes,18,19,2,2,2,2,5,6,20,North Coast,PST,MARINE WEST COAST FOREST,NULL,NULL
29292,29292-ORDEQ,Nehalem River at Salmonberry River,45.75024612,-123.6541395,NAD83,Interpolation-Digital Map Source,24000,OR_SR_1710020206_05_105864,River/Stream,Nehalem WSC site Lat/Long 45.7507/-123.6529 at railroad crossing just upstream of Salmonberry,OR,TILLAMOOK,3.00N 8.00W10,1,1d,Oregon-Washington Coastal,Northern Oregon Coastal,Nehalem,Lower Nehalem River,Lost Creek-Nehalem River,17100202,1710020206,1.71002E+11,175,Nehalem River,1.71002E+13,60.2477,1.23895E+12,23.75373686,01:39.0,2,604.3633665,3,Moved SE to Nehalem River at railroad crossing u/s of Salmonberry via flowlines and aerial layers,yes,18,19,2,2,2,2,5,6,20,North Coast,PST,MARINE WEST COAST FOREST,NULL,NULL
29302,29302-ORDEQ,Nehalem River at Spruce Run Creek,45.81167,-123.61306,NAD83,Interpolation-Digital Map Source,24000,OR_SR_1710020203_05_105834,River/Stream,NULL,OR,CLATSOP,4.00N 8.00W24,1,1d,Oregon-Washington Coastal,Northern Oregon Coastal,Nehalem,Middle Nehalem River,Cronin Creek-Nehalem River,17100202,1710020203,1.71002E+11,297,Nehalem River,1.71002E+13,99.29912,1.23613E+12,31.64546503,09:14.0,2,40.43075895,3,"Confirmed via flowlines, LLID and aerial layers",no,18,19,2,2,2,2,5,6,20,North Coast,PST,MARINE WEST COAST FOREST,NULL,NULL
34440,34440-ORDEQ,"Hall Slough at Goodspeed Road (Tillamook, OR)",45.47066562,-123.8622558,NAD83,Interpolation-Digital Map Source,24000,OR_EB_1710020308_01_100298,Estuary,NULL,OR,TILLAMOOK,1.00S10.00W24,1,1a,Oregon-Washington Coastal,Northern Oregon Coastal,Wilson-Trusk-Nestuccu,Tillamook Bay-Frontal Pacific Ocean,Tillamook Bay-Frontal Pacific Ocean,17100203,1710020308,1.71002E+11,2,Hall Slough,1.71002E+13,8.04778,1.23874E+12,1.19143699,02:41.0,2,324.8644361,3,Moved to hall Slough at Rd,Yes,18,11,1,1,2,1,1,6,11,North Coast,PST,MARINE WEST COAST FOREST,ODEQ Staff: Larry Marxer  6/12/2007 2:17:14 PM,NULL
